5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/10/2015 07:50	146	141	156	189	180	50	862	6	100
11/10/2015 07:55	136	133	139	194	190	43	835	6	100
11/10/2015 08:00	127	130	137	177	170	59	800	6	100
11/10/2015 08:05	124	116	121	153	184	36	734	6	100
11/10/2015 08:10	127	117	131	170	171	60	776	6	100
11/10/2015 08:15	126	120	170	207	197	43	863	6	100
11/10/2015 08:20	137	134	95	174	159	53	752	6	100
11/10/2015 08:25	130	121	151	166	169	53	790	6	100
11/10/2015 08:30	149	139	136	166	156	67	813	6	100
11/10/2015 08:35	107	139	139	193	177	66	821	6	100
11/10/2015 08:40	120	146	151	187	167	63	834	6	100
11/10/2015 08:45	126	123	159	173	179	44	804	6	100
11/10/2015 08:50	130	146	150	181	144	60	811	6	100
11/10/2015 08:55	133	129	141	203	177	74	857	6	100
11/10/2015 09:00	136	125	141	185	151	66	804	6	100
11/10/2015 09:05	141	129	156	170	170	54	820	6	100
11/10/2015 09:10	131	161	121	181	153	53	800	6	100
11/10/2015 09:15	129	134	136	171	174	54	798	6	100
11/10/2015 09:20	113	137	126	183	169	60	788	6	100
11/10/2015 09:25	147	139	127	163	160	64	800	6	100
11/10/2015 09:30	126	134	139	176	154	73	802	6	100
11/10/2015 09:35	130	150	160	230	180	80	930	6	100
11/10/2015 09:40	120	116	119	170	142	48	715	6	0
11/10/2015 09:45	118	102	118	177	162	57	734	6	0
11/10/2015 09:50	137	140	160	176	167	63	843	6	100
11/10/2015 09:55	144	133	137	191	153	54	812	6	100
11/10/2015 10:00	127	129	133	164	157	59	769	6	100
11/10/2015 10:05	127	121	146	193	147	37	771	6	100
11/10/2015 10:10	141	124	136	181	170	51	803	6	100
11/10/2015 10:15	137	127	131	183	161	39	778	6	100
11/10/2015 10:20	129	138	135	168	139	58	767	6	100
11/10/2015 10:25	114	131	124	169	169	47	754	6	100
11/10/2015 10:30	123	126	119	169	159	54	750	6	100
11/10/2015 10:35	134	127	116	174	156	59	766	6	100
11/10/2015 10:40	114	116	127	184	167	54	762	6	100
11/10/2015 10:45	129	120	120	183	141	46	739	6	100
11/10/2015 10:50	90	100	70	160	170	20	610	6	100
11/10/2015 10:55	122	129	125	190	153	60	779	6	0
11/10/2015 11:00	124	137	124	188	163	60	796	6	0
11/10/2015 11:05	140	113	130	204	173	57	817	6	100
11/10/2015 11:10	160	170	160	160	180	30	860	6	100
11/10/2015 11:15	123	136	128	186	145	53	771	6	0
11/10/2015 11:20	126	131	127	175	155	46	760	6	0
11/10/2015 11:25	130	130	123	197	160	40	780	6	100
11/10/2015 11:30	127	132	114	173	162	46	754	6	0
11/10/2015 11:35	147	129	130	174	144	57	781	6	0
11/10/2015 11:40	141	117	126	174	147	71	776	6	100
11/10/2015 11:45	150	117	129	190	151	69	806	6	100
11/10/2015 11:50	136	131	120	169	151	54	761	6	100
11/10/2015 11:55	141	117	117	190	139	71	775	6	100
11/10/2015 12:00	144	119	139	171	151	71	795	6	100
11/10/2015 12:05	123	153	116	183	166	50	791	6	100
11/10/2015 12:10	123	129	124	176	169	64	785	6	100
11/10/2015 12:15	150	130	123	191	156	57	807	6	100
11/10/2015 12:20	126	140	143	176	151	49	785	6	100
11/10/2015 12:25	131	134	137	186	153	50	791	6	100
11/10/2015 12:30	139	123	114	161	160	54	751	6	100
11/10/2015 12:35	113	119	117	156	161	39	705	6	100
11/10/2015 12:40	139	131	140	203	150	59	822	6	100
11/10/2015 12:45	46	53	77	110	106	23	415	6	100
